channel,campaign_name,leads,deals_count,deal_rate_pct,validated_leads,won_deals,win_rate_pct,total_mrr_usd,validated_mrr_usd,avg_mrr_per_lead,avg_mrr_per_won,q1_leads,q1_mrr_usd,q2_leads,q2_mrr_usd
Paid Search — Google,trafic-search-competencias- [peru],12,9,75.0,5,0,0.0,0,12190,0,0,9,0,3,0
Referrals,accounts.google.com,4,1,25.0,0,0,0.0,0,0,0,0,4,0,0,0
Referrals,app.humand.co,8,0,0.0,0,0,0.0,0,0,0,0,4,0,4,0
Paid Social — LinkedIn,lnknd_lead_gen sponsored messaging [bofu] - panamá latam,18,3,16.7,0,0,0.0,0,0,0,0,16,0,2,0
Paid Social — LinkedIn,post22/1-imagenstreamlineyourworkday-latam,1,1,100.0,1,0,0.0,0,200,0,0,1,0,0,0
Social Media,YouTube,42,10,23.8,1,0,0.0,0,0,0,0,1,0,41,0
Social Media,Instagram,95,53,55.8,26,0,0.0,0,1006,0,0,11,0,84,0
Social Media,LinkedIn,8,6,75.0,3,0,0.0,0,1865,0,0,5,0,3,0
Social Media,Twitter,1,1,100.0,1,0,0.0,0,157,0,0,1,0,0,0
Referrals,humand.com.ar,1,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0
Paid Social — Facebook,120239008734020080,2,2,100.0,2,0,0.0,0,0,0,0,2,0,0,0
Paid Social — Facebook,whatsapp_arg,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0
Paid Search — Google,gads_lead_gen_bofu_brazil_nordic_display_interests,1,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0
AI Referrals,chatgpt.com,3,1,33.3,1,0,0.0,0,562,0,0,1,0,2,0
Social Media,Facebook,21,9,42.9,6,0,0.0,0,0,0,0,1,0,20,0
Other Campaigns,investmentseriesa,3,1,33.3,0,0,0.0,0,0,0,0,3,0,0,0
Offline,PRESENTATIONS,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0
Paid Social — Facebook,prode_mx,193,110,57.0,60,0,0.0,0,6496,0,0,9,0,184,0
Paid Social — LinkedIn,si-seriea-colperúpanguat-reach,1,1,100.0,1,0,0.0,0,1000,0,0,1,0,0,0
Offline,IMPORT,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0
Paid Social — Facebook,120240130486500080,9,6,66.7,2,0,0.0,0,0,0,0,0,0,9,0
Referrals,humand.es,4,4,100.0,2,0,0.0,0,0,0,0,0,0,4,0
Paid Social — LinkedIn,psp_lnknd_lead_gen sponsoredmessagingpartnership-argentina,1,1,100.0,1,0,0.0,0,150,0,0,0,0,1,0
Paid Social — Facebook,leads[bofu]-meta-na,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Referrals,padlet.com,1,1,100.0,1,0,0.0,0,300,0,0,0,0,1,0
Paid Social — Facebook,120241151770720080,5,2,40.0,1,0,0.0,0,110,0,0,0,0,5,0
Other Campaigns,hrmanagement,2,1,50.0,0,0,0.0,0,0,0,0,0,0,2,0
Paid Search — Google,gads_lead_gen_bofu_hispam_argentina_search_funcionalidadesrrhh,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,0
Paid Search — Google,gads_lead_gen_bofu_hispam_panama_guatemala_search_general,3,1,33.3,0,0,0.0,0,0,0,0,0,0,3,0
Other Campaigns,emea-leads-prode-worlcup-demourlconversion,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Paid Search — Google,gads_lead_gen_bofu_hispam_argentina_search_prode,10,5,50.0,2,0,0.0,0,0,0,0,0,0,10,0
Other Campaigns,prode,14,7,50.0,5,0,0.0,0,0,0,0,0,0,14,0
Other Campaigns,leads-prode-colombia,105,42,40.0,18,0,0.0,0,453,0,0,0,0,105,0
Other Campaigns,leads-prode-mexico,58,27,46.6,11,0,0.0,0,300,0,0,0,0,58,0
Other Campaigns,leads-prode-argentina,85,30,35.3,15,0,0.0,0,585,0,0,0,0,85,0
Email Marketing,25030938-newsletter,2,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0
Paid Search — Google,gads_lead_gen_bofu_hispam_mexico_search_quiniela,7,3,42.9,2,0,0.0,0,0,0,0,0,0,7,0
Other Campaigns,{{campaign.name}},7,3,42.9,2,0,0.0,0,0,0,0,0,0,7,0
Paid Search — Google,25030938-newsletter,2,1,50.0,0,0,0.0,0,0,0,0,0,0,2,0
Paid Social — LinkedIn,[campaign.name],2,2,100.0,2,0,0.0,0,5800,0,0,0,0,2,0
Paid Search — Google,gads_lead_gen_bofu_hispam_colombia_search_polla,4,2,50.0,0,0,0.0,0,0,0,0,0,0,4,0
Other Campaigns,meta,4,4,100.0,3,0,0.0,0,0,0,0,0,0,4,0
Paid Search — Google,gads_lead_gen_bofu_hispam_argentina_search_whatsapp,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Email Marketing,43776811-prode,5,1,20.0,1,0,0.0,0,0,0,0,0,0,5,0
Referrals,ticktick.com,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Other Campaigns,copilot.com,2,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0
Paid Search — Google,gads_lead_gen_bofu_hispam_colombia_search_funcionalidadesrrhh,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Other Campaigns,encuestas,2,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0
Referrals,app.hubspot.com,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Paid Search — Google,gads_lead_gen_bofu_hispam_panama_guatemala_pmax,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,0
Paid Search — Google,gads_lead_gen_bofu_hispam_panama_guatemala_search_gestion-de-rrhh,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0
Paid Search — Google,gads_lead_gen_bofu_hispam_argentina_search_ia,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,0

TOTAL,,2532,1281,50.6,732,56,2.2,25161,320649,10,449,1135,21838,1397,3322
